DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2021-Q2,58.7,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2021-Q3,48.6,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DE,2021-Q4,50.7,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2018-Q1,115.4,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2018-Q2,143.1,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2018-Q3,100.8,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2018-Q4,141.5,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2019-Q1,174.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2019-Q2,162.6,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2019-Q3,135.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2019-Q4,164.2,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2020-Q1,118.7,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2020-Q2,107.3,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2020-Q3,86.2,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2020-Q4,110.6,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2021-Q1,213.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2021-Q2,89.4,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2021-Q3,81.3,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,DK,2021-Q4,187.0,
ESTAT:STS_RB_Q(1.0),20/04/22 11:00:00,Q,BKRT,B-E,NSA,I15,EA19,2018-Q1,96.9,
